YearBuilt;NumberofBuildings;NumberofFloors;PropertyGFATotal;PropertyGFAParking(%);PropertyGFABuilding(s)(%);LargestPropertyUseType(%);SecondLargestPropertyUseType(%);ThirdLargestPropertyUseType(%);SiteEnergyUse(kBtu);SiteEnergyUse_log;TotalGHGEmissions_log;SteamUse(%);Electricity(%);NaturalGas(%);TotalGHGEmissions;Education;Food Sales;Healthcare;Industrial;Office;Parking;Recreation;Religious;Residential;Retail;Sans;Services;Warehouse;Public_Services
1927;1.0;12;88434;0.0;100.0;100.0;0.0;0.0;7226362.5;15.793246493880627;5.525373254682162;27.7301616131214;54.6059929874816;17.66383848028659;249.98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0;0.0;0.0;0.0
1996;1.0;11;103566;14.545314099221752;85.45468590077824;80.99183129598518;14.545314099221752;4.462854604793079;8387933.0;15.942304802589588;5.6932606471966185;0.0;38.66090728192512;61.33909271807488;295.86;0.0;4.462854604793079;0.0;0.0;0.0;14.545314099221752;0.0;0.0;80.99183129598518;0.0;0;0.0;0.0;0.0
1969;1.0;41;956110;20.574829256047945;79.42517074395205;79.1219629540534;0.0;0.0;72587024.0;18.100296744814614;7.6450533072773705;29.711307629859572;68.23074052464253;2.0579435795576906;2089.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;79.1219629540534;0.0;0;0.0;0.0;0.0
1926;1.0;10;61320;0.0;100.0;100.0;0.0;0.0;6794584.0;15.731636529382916;5.660979352330892;32.59134407639968;40.75192830054055;26.65671658485641;286.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0;0.0;0.0;0.0
1980;1.0;18;175580;35.311538899646884;64.68846110035311;70.30698257204693;38.73391046816266;0.0;14172606.0;16.466821574984518;6.226556431938032;0.0;37.88016826263286;62.11982468150177;505.01;0.0;0.0;0.0;0.0;0.0;38.73391046816266;0.0;0.0;70.30698257204693;0.0;0;0.0;0.0;0.0
1999;1.0;2;97288;38.234931337883395;61.765068662116605;91.30622481703807;0.0;0.0;12086616.0;16.307609365403174;5.713105546117053;0.0;60.9884023783001;39.011597621699906;301.81;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;91.30622481703807
1926;1.0;11;83008;0.0;100.0;98.00501156515034;0.0;0.0;5758795.0;15.566238983044945;5.176940380381437;0.0;48.81602835315374;51.18397164684626;176.14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;98.00501156515034;0.0;0;0.0;0.0;0.0
1926;1.0;8;102761;0.0;100.0;100.0;0.0;0.0;6298131.5;15.6557637188467;5.404972044416576;36.14225107875249;57.74180802671396;6.115925016808556;221.51;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0;0.0;0.0;0.0
1904;1.0;15;163984;0.0;100.0;100.0;0.0;0.0;13723820.0;16.434643640030767;5.974216653698429;0.0;53.17702359838587;46.822969115013166;392.16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0;0.0;0.0;0.0
1969;1.0;11;153163;12.587243655452035;87.41275634454797;87.41275634454797;0.0;0.0;16016644.0;16.589139051954007;6.539961607594982;32.698269999632885;38.6324813113159;28.669239323793423;691.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;87.41275634454797;0.0;0;0.0;0.0;0.0
1998;1.0;25;333176;18.356964487237974;81.64303551276203;101.03969073402645;0.0;0.0;26941110.0;17.109163967888286;6.609308811083168;22.26842360986611;67.12065315794338;10.610921376290731;740.97;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;101.03969073402645;0.0;0;0.0;0.0;0.0
1928;1.0;9;65009;0.0;100.0;100.0;0.0;0.0;6596057.5;15.701982831633819;5.796756594662978;25.11125016724005;20.36064725027033;54.52810258248961;328.23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0;0.0;0.0;0.0
1980;1.0;33;315952;18.230617308958323;81.76938269104168;93.53034638172886;18.230617308958323;0.0;22325364.0;16.921234033977285;6.476387576550862;19.429642894064347;62.27975946999117;18.290586437918773;648.62;0.0;0.0;0.0;0.0;0.0;18.230617308958323;0.0;0.0;93.53034638172886;0.0;0;0.0;0.0;0.0
1922;1.0;11;92190;27.33485193621868;72.66514806378133;73.09903460245147;27.33485193621868;0.0;10750010.0;16.190417335793235;6.239086053829017;45.310167153332884;35.64991102333858;19.039917172170075;511.39;0.0;0.0;0.0;0.0;0.0;27.33485193621868;0.0;0.0;73.09903460245147;0.0;0;0.0;0.0;0.0
2004;1.0;11;412000;13.834951456310678;86.16504854368931;88.57111650485436;11.893203883495145;0.2606796116504855;18588860.0;16.738073088320842;5.206092422505519;3.96775003953981;96.03223113197905;0.0;181.38;0.0;0.0;0.0;0.0;0.0;11.893203883495145;0.0;0.0;0.0;0.0;0;0.0;0.2606796116504855;88.57111650485436
1930;1.0;6;103911;0.0;100.0;86.61258192106706;38.49448085380758;0.0;9956396.0;16.113725817126603;6.075024140206913;46.12459669141324;44.73373698675706;9.141661299932224;433.86;0.0;0.0;0.0;0.0;38.49448085380758;0.0;86.61258192106706;0.0;0.0;0.0;0;0.0;0.0;0.0
1983;1.0;28;416281;20.418899733593417;79.5811002664066;83.67641088591601;20.418899733593417;0.0;33556756.0;17.328748801997715;6.6894624438984165;0.0;63.251873929649214;36.74811415024742;802.89;0.0;0.0;0.0;0.0;0.0;20.418899733593417;0.0;0.0;83.67641088591601;0.0;0;0.0;0.0;0.0
1907;1.0;5;57452;0.0;100.0;28.618672979182623;26.98774629255726;16.955023323818143;7606084.5;15.844459208532589;5.613201096424962;23.352381570307298;49.497096699359574;27.15051351322747;273.02;0.0;26.98774629255726;0.0;0.0;16.955023323818143;0.0;28.618672979182623;0.0;0.0;0.0;0;0.0;0.0;0.0
1916;1.0;10;104352;0.0;100.0;100.0;0.0;0.0;10154608.0;16.13343824905496;5.858847022493143;33.78625743110911;58.18412685157319;8.029615717317695;349.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0;0.0;0.0;0.0
1916;1.0;10;540360;0.0;100.0;99.40595158783033;0.0;0.0;44984468.0;17.621827854829043;7.143846644402559;0.0;54.147206987087195;45.852784120954816;1265.29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;99.40595158783033
