YearBuilt;NumberofBuildings;NumberofFloors;PropertyGFATotal;PropertyGFAParking(%);PropertyGFABuilding(s)(%);LargestPropertyUseType(%);SecondLargestPropertyUseType(%);ThirdLargestPropertyUseType(%);SiteEnergyUse(kBtu);SiteEnergyUse_log;TotalGHGEmissions_log;SteamUse(%);Electricity(%);NaturalGas(%);ENERGYSTARScore;TotalGHGEmissions;Education;Food Sales;Healthcare;Industrial;Office;Parking;Recreation;Religious;Residential;Retail;Sans;Services;Warehouse;Public_Services
1961;1.0;1;25842;0.0;100.0;100.5611020818822;0.0;0.0;8518313.0;15.957728991899275;5.474537011150523;0.0;54.67041420055826;45.329585799441745;35.0;237.54;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.5611020818822;0;0.0;0.0;0.0
1982;1.0;3;25859;0.0;100.0;100.0;15.468502262268455;0.0;858780.625;13.663269948623721;2.766319109226186;0.0;77.51770133379523;22.482225888596403;88.0;14.9;0.0;0.0;0.0;0.0;100.0;15.468502262268455;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0
1974;1.0;1;25600;0.0;100.0;80.46875;19.53125;0.0;1730600.625;14.363979666135036;3.562749176969724;0.0;72.20666524375027;27.793356425027294;1.0;34.26;0.0;0.0;0.0;0.0;19.53125;0.0;0.0;0.0;0.0;0.0;0;0.0;80.46875;0.0
2008;1.0;4;41784;20.100995596400537;79.89900440359946;79.89900440359946;20.100995596400537;0.0;1294615.25;14.073724877154426;2.305580601973844;0.0;99.99998068924339;0.0;89.0;9.03;0.0;0.0;0.0;0.0;79.89900440359946;20.100995596400537;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0
1960;1.0;1;56884;0.0;100.0;100.0;0.0;0.0;1388345.125;14.143623758557998;3.6503984672956546;0.0;56.57555789667212;43.424433099802904;71.0;37.49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;100.0;0.0
1989;1.0;1;32810;0.0;100.0;100.0;0.0;0.0;2017967.75;14.517601994146451;3.85946575468947;0.0;65.2274051455976;34.772607243103856;66.0;46.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0;0.0;0.0;0.0
1961;1.0;2;20022;0.0;100.0;103.80581360503447;0.0;0.0;657385.8125;13.396027879925866;1.7191887763932197;0.0;100.00002852206367;0.0;80.0;4.58;0.0;0.0;0.0;0.0;103.80581360503447;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0
1960;1.0;2;36498;0.0;100.0;49.945202476848046;47.12586991068004;0.0;520011.8125;13.161608729677141;2.7606426512213806;0.0;53.38878720182919;46.61124885504404;89.0;14.81;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;97.07107238752809;0.0
2007;1.0;4;30152;18.837888033961264;81.16211196603874;83.52348102945079;16.47651897054922;0.0;845044.125;13.647145307280319;1.937301774518713;0.0;99.88448828041967;0.11549692745334453;96.0;5.94;0.0;0.0;0.0;0.0;83.52348102945079;16.47651897054922;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0
1979;1.0;4;22365;0.0;100.0;96.65548848647441;0.0;0.0;727385.8125;13.49721368173087;1.803358605071407;0.0;100.00002577724183;0.0;71.0;5.07;0.0;0.0;0.0;0.0;96.65548848647441;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0
1994;1.0;4;30172;0.0;100.0;100.0;0.0;0.0;904059.875;13.714651976708874;1.9878743481543455;0.0;100.00001382651784;0.0;82.0;6.3;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0
1927;1.0;4;42500;0.0;100.0;100.0;11.978823529411766;0.0;241478.5938;12.394540250782063;0.9858167945227653;0.0;99.99975409828646;0.0;100.0;1.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.978823529411766;0;0.0;100.0;0.0
1968;1.0;2;23500;0.0;100.0;100.0;0.0;0.0;1686405.0;14.338110195197613;3.5700959181239695;0.0;70.74125136014185;29.25874863985816;26.0;34.52;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0
1966;1.0;1;22282;0.0;100.0;100.0;0.0;0.0;579888.3125;13.270592523792992;2.871868286331605;0.0;52.82017129807216;47.17977481224025;93.0;16.67;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0
1931;1.0;2;37500;0.0;100.0;100.0;0.0;0.0;2235765.5;14.620094680254995;3.8124236402053913;0.0;72.20148982529697;27.79848781099807;58.0;44.26;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0
1930;1.0;3;23983;0.0;100.0;100.0;0.0;0.0;1164364.75;13.967687076130375;3.534562093729579;0.0;53.16186358269606;46.83815788823906;61.0;33.28;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0
1980;1.0;1;24100;0.0;100.0;83.40248962655602;14.522821576763487;0.0;809870.8125;13.604631257951953;3.4496700351129332;0.0;33.52497655297338;66.47504659886727;22.0;30.49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;97.92531120331951;0.0
1971;1.0;1;23772;0.0;100.0;100.0;0.0;0.0;100841.7031;11.521317186773606;0.5306282510621704;0.0;100.00029442184221;0.0;100.0;0.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0;0.0;0.0;0.0
2004;3.0;2;31343;0.0;100.0;164.35886800880579;0.0;0.0;3846501.25;15.16267478682831;4.864915639746849;0.0;42.6136609210773;57.386332579509755;5.0;128.66;164.35886800880579;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0
1983;1.0;4;40571;26.740775430726384;73.25922456927361;59.17527297823568;0.0;0.0;1286817.375;14.067683353853386;2.299580583973747;0.0;99.99997085833566;0.0;64.0;8.97;0.0;0.0;0.0;0.0;59.17527297823568;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0
1983;1.0;4;41707;37.545256192006136;62.454743807993864;100.0;28.772148560193735;0.0;1755788.5;14.37842917127639;2.5832425505088623;0.0;99.99997152276599;0.0;78.0;12.24;0.0;0.0;0.0;0.0;100.0;28.772148560193735;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0
1955;1.0;2;39497;0.0;100.0;64.68086183760792;35.319138162392086;0.0;1700057.375;14.346173146672195;3.3769046890931107;0.0;79.06033171380466;20.93964622811627;9.0;28.28;0.0;0.0;0.0;0.0;35.319138162392086;0.0;0.0;0.0;0.0;0.0;0;0.0;64.68086183760792;0.0
1982;1.0;2;27574;0.0;100.0;100.0;0.0;0.0;1211349.25;14.007246204500092;2.244955980157409;0.0;99.9999793618562;0.0;73.0;8.44;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0
1965;1.0;1;24982;0.0;100.0;100.0;0.0;0.0;335245.0;12.722619869678264;1.205970806988609;0.0;100.0;0.0;99.0;2.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0;0.0;0.0;0.0
1998;1.0;5;43661;0.0;100.0;100.0;0.0;0.0;3936421.5;15.185782873873164;4.425684604013345;0.0;69.64942651593586;30.350560782172337;4.0;82.57;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0
1987;1.0;3;76105;35.88069115038434;64.11930884961566;100.0;0.0;0.0;2472350.25;14.720680178889637;2.9036169846461855;0.0;99.99998988816411;0.0;91.0;17.24;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0
1966;1.0;1;41615;0.0;100.0;100.0;0.0;0.0;1900006.25;14.457368259918862;2.6567569067146595;0.0;99.99998684214854;0.0;69.0;13.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0;0.0;0.0;0.0
1988;1.0;3;28841;0.0;100.0;100.0;0.0;0.0;1459199.75;14.193399412282336;3.5386377907833935;0.0;65.46903533940436;34.530913262560524;55.0;33.42;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0
1924;1.0;2;42975;0.0;100.0;49.80802792321117;0.0;0.0;959352.0;13.774014377898675;3.7832801295354206;0.0;18.05020472152036;81.94979527847964;92.0;42.96;49.80802792321117;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0
1988;1.0;2;30659;0.0;100.0;88.92005610098177;28.223360187873052;0.929580221142242;2619088.5;14.77833729625456;4.040416220196545;0.0;68.89373917681667;31.106241732572226;88.0;55.85;0.0;0.0;0.0;0.0;88.92005610098177;0.0;0.0;0.0;0.0;0.0;0;0.0;29.152940409015294;0.0
